Text,Entities
Prescribe 1000 mL of ivermectin for pain relief.,"{'entities': [(21, 31, 'MEDICATION'), (10, 17, 'DOSAGE')]}"
She mentioned an allergy to lidocaine.,"{'entities': [(28, 37, 'MEDICATION')]}"
Prescribe 265 g of nabumetone for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The White Blood Cell (WBC) in Stool revealed a Breast Abscess in the right hand.,"{'entities': [(47, 61, 'DIAGNOSIS'), (4, 35, 'TEST_NAME'), (69, 79, 'BODY_PART')]}"
Down Syndrome Tests measurements indicate Legionnaires Disease.,"{'entities': [(42, 62, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
The patient was diagnosed with Cerumen Impaction last year.,"{'entities': [(31, 48, 'DIAGNOSIS')]}"
Laparoscopy measurements indicate Urethritis.,"{'entities': [(34, 44, 'DIAGNOSIS'), (0, 11, 'TEST_NAME')]}"
Patient presents with Abnormal Lung Findings.,"{'entities': [(22, 44, 'SYMPTOM')]}"
The Growth Hormone Tests revealed a Gonorrhea in the left breast.,"{'entities': [(36, 45, 'DIAGNOSIS'), (4, 24, 'TEST_NAME'), (53, 64, 'BODY_PART')]}"
The Vision Screening shows normal left shoulder function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 47, 'BODY_PART')]}"
Albumin Blood Test measurements indicate Gastroesophageal Reflux Disease.,"{'entities': [(41, 72, 'DIAGNOSIS'), (0, 18, 'TEST_NAME')]}"
Prescribe 885 mg of Virtussin for pain relief.,"{'entities': [(20, 29, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Magnesium Blood Test measurements indicate Ovarian Torsion.,"{'entities': [(43, 58, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
Patient presents with Inflammation of the Vestibular Nerve.,"{'entities': [(22, 58, 'SYMPTOM')]}"
Prescribe 855 g of Estrace for pain relief.,"{'entities': [(19, 26, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The patient was diagnosed with Gestational Trophoblastic Detachment last year.,"{'entities': [(31, 67, 'DIAGNOSIS')]}"
The ALT Blood Test shows normal right ankle function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 43, 'BODY_PART')]}"
Examine the Burn Wound in the patient's right neck.,"{'entities': [(12, 22, 'SYMPTOM'), (40, 50, 'BODY_PART')]}"
He has been prescribed Ultram 295 mg.,"{'entities': [(23, 29, 'MEDICATION'), (30, 36, 'DOSAGE')]}"
The patient was diagnosed with Grave's Disease last year.,"{'entities': [(31, 46, 'DIAGNOSIS')]}"
Patient presents with Severe Leg Pain.,"{'entities': [(22, 37, 'SYMPTOM')]}"
Patient presents with Gynecomastia.,"{'entities': [(22, 34, 'SYMPTOM')]}"
She mentioned an allergy to mirtazapine.,"{'entities': [(28, 39, 'MEDICATION')]}"
The Lung Cancer Genetic Tests revealed a Hypertrophic Scar (Simple)[R] in the left thigh.,"{'entities': [(41, 70, 'DIAGNOSIS'), (4, 29, 'TEST_NAME'), (78, 88, 'BODY_PART')]}"
He has been prescribed mycophenolate 160 mL.,"{'entities': [(23, 36, 'MEDICATION'), (37, 43, 'DOSAGE')]}"
Patient presents with Patient Request (Breast Augmentation).,"{'entities': [(22, 59, 'SYMPTOM')]}"
He has been prescribed lasix 730 L.,"{'entities': [(23, 28, 'MEDICATION'), (29, 34, 'DOSAGE')]}"
The Globulin Test shows normal abdominal region function.,"{'entities': [(4, 17, 'TEST_NAME'), (31, 47, 'BODY_PART')]}"
She mentioned an allergy to fluocinonide.,"{'entities': [(28, 40, 'MEDICATION')]}"
The patient was diagnosed with Colorado Tick Fever last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
Allergy Blood Test measurements indicate Poison Ivy Rash.,"{'entities': [(41, 56, 'DIAGNOSIS'), (0, 18, 'TEST_NAME')]}"
The patient was diagnosed with Strep Throat last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
Examine the Rash On Leg in the patient's pancreas.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 49, 'BODY_PART')]}"
The patient was diagnosed with Squamous Cell Carcinoma (Stage 4) last year.,"{'entities': [(31, 64, 'DIAGNOSIS')]}"
The Suicide Risk Screening revealed a Cardiac Blunt Injury in the left tricep.,"{'entities': [(38, 58, 'DIAGNOSIS'), (4, 26, 'TEST_NAME'), (66, 77, 'BODY_PART')]}"
Prescribe 1000 mL of Sprintec for pain relief.,"{'entities': [(21, 29, 'MEDICATION'), (10, 17, 'DOSAGE')]}"
The CA 19-9 Blood Test (Pancreatic Cancer) shows normal left hand function.,"{'entities': [(4, 42, 'TEST_NAME'), (56, 65, 'BODY_PART')]}"
Prostate-Specific Antigen (PSA) Test measurements indicate Urinary Tract Infection.,"{'entities': [(59, 82, 'DIAGNOSIS'), (0, 36, 'TEST_NAME')]}"
Patient presents with Breast Shape Changes.,"{'entities': [(22, 42, 'SYMPTOM')]}"
She mentioned an allergy to filgrastim.,"{'entities': [(28, 38, 'MEDICATION')]}"
Skin Biopsy measurements indicate Shoulder Dislocation.,"{'entities': [(34, 54, 'DIAGNOSIS'), (0, 11, 'TEST_NAME')]}"
The Bilirubin in Urine shows normal right foot function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 46, 'BODY_PART')]}"
Patient presents with Scoliotic Findings.,"{'entities': [(22, 40, 'SYMPTOM')]}"
The Red Blood Cell (RBC) Count shows normal right groin function.,"{'entities': [(4, 30, 'TEST_NAME'), (44, 55, 'BODY_PART')]}"
Prescribe 920 mg of Glucophage for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
He has been prescribed Diphenoxylate-Atropine 140 L.,"{'entities': [(23, 45, 'MEDICATION'), (46, 51, 'DOSAGE')]}"
He has been prescribed HySept 580 g every 38 hours.,"{'entities': [(23, 29, 'MEDICATION'), (30, 50, 'DOSAGE')]}"
The Red Blood Cell Antibody Screen revealed a Encephalitis in the heart.,"{'entities': [(46, 58, 'DIAGNOSIS'), (4, 34, 'TEST_NAME'), (66, 71, 'BODY_PART')]}"
The Protein C and Protein S Tests shows normal right calf function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 57, 'BODY_PART')]}"
She mentioned an allergy to bumetanide.,"{'entities': [(28, 38, 'MEDICATION')]}"
Differential Diagnosis measurements indicate Melanoma (Stage 3).,"{'entities': [(45, 63, 'DIAGNOSIS'), (0, 22, 'TEST_NAME')]}"
The Lactate Dehydrogenase (LDH) Isoenzymes Test shows normal right knee function.,"{'entities': [(4, 47, 'TEST_NAME'), (61, 71, 'BODY_PART')]}"
Gram Stain measurements indicate Renal Contusion.,"{'entities': [(33, 48, 'DIAGNOSIS'), (0, 10, 'TEST_NAME')]}"
Patient presents with Menorrhagia.,"{'entities': [(22, 33, 'SYMPTOM')]}"
He has been prescribed Zovirax 975 L every 6 hours.,"{'entities': [(23, 30, 'MEDICATION'), (31, 50, 'DOSAGE')]}"
He has been prescribed Transderm-Scop 555 mL every 41 hours.,"{'entities': [(23, 37, 'MEDICATION'), (38, 59, 'DOSAGE')]}"
Alpha-1 Antitrypsin Testing measurements indicate Hypertensive Retinopathy.,"{'entities': [(50, 74, 'DIAGNOSIS'), (0, 27, 'TEST_NAME')]}"
The patient was diagnosed with Acute Rheumatic Fever last year.,"{'entities': [(31, 52, 'DIAGNOSIS')]}"
She mentioned an allergy to pradaxa.,"{'entities': [(28, 35, 'MEDICATION')]}"
Prescribe 995 mg of Xanax for pain relief.,"{'entities': [(20, 25, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The DHEA Sulfate Test revealed a Prostate Cancer (Stage 4) in the right shin.,"{'entities': [(33, 58, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (66, 76, 'BODY_PART')]}"
The Cord Blood Testing and Banking shows normal left ankle function.,"{'entities': [(4, 34, 'TEST_NAME'), (48, 58, 'BODY_PART')]}"
Patient presents with CD19 Antigen Negative Expression.,"{'entities': [(22, 54, 'SYMPTOM')]}"
She mentioned an allergy to Humulin.,"{'entities': [(28, 35, 'MEDICATION')]}"
The patient was diagnosed with Ductal Carcinoma In Situ last year.,"{'entities': [(31, 55, 'DIAGNOSIS')]}"
He has been prescribed gentamicin 805 mL.,"{'entities': [(23, 33, 'MEDICATION'), (34, 40, 'DOSAGE')]}"
Patient presents with Hunger.,"{'entities': [(22, 28, 'SYMPTOM')]}"
She mentioned an allergy to Ginkgo Biloba.,"{'entities': [(28, 41, 'MEDICATION')]}"
Prescribe 990 L of bicalutamide for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Gastric Emptying Tests measurements indicate Severe thermal Burn.,"{'entities': [(45, 64, 'DIAGNOSIS'), (0, 22, 'TEST_NAME')]}"
Prescribe 800 mg of Medrol for pain relief.,"{'entities': [(20, 26, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
She mentioned an allergy to glycopyrrolate.,"{'entities': [(28, 42, 'MEDICATION')]}"
She mentioned an allergy to lisinopril.,"{'entities': [(28, 38, 'MEDICATION')]}"
Fungal Culture Test measurements indicate Testicular Torsion.,"{'entities': [(42, 60, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
Prescribe 725 L every 28 hours of ketoconazole for pain relief.,"{'entities': [(34, 46, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
The patient was diagnosed with Urinary Tract Infection last year.,"{'entities': [(31, 54, 'DIAGNOSIS')]}"
She mentioned an allergy to rifaximin.,"{'entities': [(28, 37, 'MEDICATION')]}"
Vitamin E (Tocopherol) Test measurements indicate Pancreatitis.,"{'entities': [(50, 62, 'DIAGNOSIS'), (0, 27, 'TEST_NAME')]}"
Prescribe 935 mL every 44 hours of Vitamin C for pain relief.,"{'entities': [(35, 44, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Red Blood Cell (RBC) Count shows normal left sole function.,"{'entities': [(4, 30, 'TEST_NAME'), (44, 53, 'BODY_PART')]}"
The Amylase Test revealed a Diffuse Astrocytoma in the left nostril.,"{'entities': [(28, 47, 'DIAGNOSIS'), (4, 16, 'TEST_NAME'), (55, 67, 'BODY_PART')]}"
The Bone Density Scan revealed a Abdominal Shattered Wound in the left cheek.,"{'entities': [(33, 58, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (66, 76, 'BODY_PART')]}"
The Suicide Risk Screening shows normal left collarbone function.,"{'entities': [(4, 26, 'TEST_NAME'), (40, 55, 'BODY_PART')]}"
The patient was diagnosed with SC Lung Cancer (Extensive Stage) last year.,"{'entities': [(31, 63, 'DIAGNOSIS')]}"
The patient was diagnosed with Adrenocortical Carcinoma (Localised) last year.,"{'entities': [(31, 67, 'DIAGNOSIS')]}"
MTHFR Mutation Test measurements indicate Syphilis (I).,"{'entities': [(42, 54, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
The PTEN Genetic Test revealed a Pubic Lice in the left calf.,"{'entities': [(33, 43, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (51, 60, 'BODY_PART')]}"
The patient was diagnosed with MERS last year.,"{'entities': [(31, 35, 'DIAGNOSIS')]}"
The Breast Biopsy shows normal left foot function.,"{'entities': [(4, 17, 'TEST_NAME'), (31, 40, 'BODY_PART')]}"
The patient was diagnosed with Mastitis last year.,"{'entities': [(31, 39, 'DIAGNOSIS')]}"
Parainfluenza Tests measurements indicate Merkel Cell Carcinoma (Local).,"{'entities': [(42, 71, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
Prescribe 65 g of Vitamin D for pain relief.,"{'entities': [(18, 27, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
Examine the Kidney Damaged in the patient's right thigh.,"{'entities': [(12, 26, 'SYMPTOM'), (44, 55, 'BODY_PART')]}"
The How to Understand Your Lab Results shows normal left knee function.,"{'entities': [(4, 38, 'TEST_NAME'), (52, 61, 'BODY_PART')]}"
He has been prescribed diazepam 730 L.,"{'entities': [(23, 31, 'MEDICATION'), (32, 37, 'DOSAGE')]}"
Examine the Diverticular Image in the patient's right shin.,"{'entities': [(12, 30, 'SYMPTOM'), (48, 58, 'BODY_PART')]}"
The patient was diagnosed with Ectopic Pregnancy last year.,"{'entities': [(31, 48, 'DIAGNOSIS')]}"
She mentioned an allergy to Omnicef.,"{'entities': [(28, 35, 'MEDICATION')]}"
Examine the Late Period in the patient's left foot.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 50, 'BODY_PART')]}"
Basic Metabolic Panel (BMP) measurements indicate Radiation Dermatitis.,"{'entities': [(50, 70, 'DIAGNOSIS'), (0, 27, 'TEST_NAME')]}"
The patient was diagnosed with Methanol Poisoning last year.,"{'entities': [(31, 49, 'DIAGNOSIS')]}"
The patient was diagnosed with Acute Osteomyelitis last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
She mentioned an allergy to mycophenolate.,"{'entities': [(28, 41, 'MEDICATION')]}"
The patient was diagnosed with Pericarditis last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
Examine the Aspergillus Found In Sinus in the patient's left shin.,"{'entities': [(12, 38, 'SYMPTOM'), (56, 65, 'BODY_PART')]}"
She mentioned an allergy to loratadine.,"{'entities': [(28, 38, 'MEDICATION')]}"
The patient was diagnosed with Dysosmia last year.,"{'entities': [(31, 39, 'DIAGNOSIS')]}"
Prescribe 920 mg of sodium chloride decyl glucoside for pain relief.,"{'entities': [(20, 51, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
He has been prescribed Namenda 305 mL.,"{'entities': [(23, 30, 'MEDICATION'), (31, 37, 'DOSAGE')]}"
The patient was diagnosed with Queensland Tick Typhus last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
He has been prescribed mupirocin 745 mg.,"{'entities': [(23, 32, 'MEDICATION'), (33, 39, 'DOSAGE')]}"
Examine the Upper Abdomen Cavitation in the patient's right toe.,"{'entities': [(12, 36, 'SYMPTOM'), (54, 63, 'BODY_PART')]}"
The Lactate Test revealed a Fistula of the Intestine in the left chin.,"{'entities': [(28, 52, 'DIAGNOSIS'), (4, 16, 'TEST_NAME'), (60, 69, 'BODY_PART')]}"
The patient was diagnosed with Typhoid Fever last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
Barium Swallow measurements indicate Nasal Fracture.,"{'entities': [(37, 51, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
The patient was diagnosed with Lupus last year.,"{'entities': [(31, 36, 'DIAGNOSIS')]}"
The patient was diagnosed with Nasal Fracture last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
Patient presents with Median Nerve Compression.,"{'entities': [(22, 46, 'SYMPTOM')]}"
Prescribe 980 g of Benzaclin for pain relief.,"{'entities': [(19, 28, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Itchy Eyes in the patient's right arm.,"{'entities': [(12, 22, 'SYMPTOM'), (40, 49, 'BODY_PART')]}"
Examine the Gynecologic Hemorrhage in the patient's left palm.,"{'entities': [(12, 34, 'SYMPTOM'), (52, 61, 'BODY_PART')]}"
BRAF Genetic Test measurements indicate Pulmonary Laceration.,"{'entities': [(40, 60, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Prescribe 600 L of vaginal cream for pain relief.,"{'entities': [(19, 32, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 950 mL every 39 hours of dicyclomine for pain relief.,"{'entities': [(35, 46, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Postpartum Depression Screening shows normal right nipple function.,"{'entities': [(4, 35, 'TEST_NAME'), (49, 61, 'BODY_PART')]}"
She mentioned an allergy to Estrace.,"{'entities': [(28, 35, 'MEDICATION')]}"
The patient was diagnosed with Blunt Spleen Rupture last year.,"{'entities': [(31, 51, 'DIAGNOSIS')]}"
Patient presents with Neck Bone Spurs.,"{'entities': [(22, 37, 'SYMPTOM')]}"
She mentioned an allergy to desloratadine.,"{'entities': [(28, 41, 'MEDICATION')]}"
ADHD Screening measurements indicate Giant Cells Arteritis.,"{'entities': [(37, 58, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
The Phenylketonuria (PKU) Screening revealed a Amputated Digit (GT)[R] in the left elbow.,"{'entities': [(47, 70, 'DIAGNOSIS'), (4, 35, 'TEST_NAME'), (78, 88, 'BODY_PART')]}"
The Alpha-Fetoprotein (AFP) Test revealed a Upper Abdomen Gunshot in the left groin.,"{'entities': [(44, 65, 'DIAGNOSIS'), (4, 32, 'TEST_NAME'), (73, 83, 'BODY_PART')]}"
Patient presents with Kidney Tissue Inflamed.,"{'entities': [(22, 44, 'SYMPTOM')]}"
The patient was diagnosed with Interstitial Nephritis last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
What You Need to Know About Blood Testing measurements indicate Lyme Disease.,"{'entities': [(64, 76, 'DIAGNOSIS'), (0, 41, 'TEST_NAME')]}"
She mentioned an allergy to Norco.,"{'entities': [(28, 33, 'MEDICATION')]}"
Examine the Progesterone Receptor Positive in the patient's left collarbone.,"{'entities': [(12, 42, 'SYMPTOM'), (60, 75, 'BODY_PART')]}"
The ADHD Screening revealed a Kidney Stones in the left hip.,"{'entities': [(30, 43, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (51, 59, 'BODY_PART')]}"
Prescribe 115 g of isosorbide for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 505 g of metronidazole for pain relief.,"{'entities': [(19, 32, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
She mentioned an allergy to imiquimod.,"{'entities': [(28, 37, 'MEDICATION')]}"
The patient was diagnosed with Cholesteatoma last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
The BUN (Blood Urea Nitrogen) shows normal left toe function.,"{'entities': [(4, 29, 'TEST_NAME'), (43, 51, 'BODY_PART')]}"
The Kidney Stone Analysis revealed a Metastatic Breast Cancer in the right tricep.,"{'entities': [(37, 61, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (69, 81, 'BODY_PART')]}"
The Burn Evaluation shows normal esophagus function.,"{'entities': [(4, 19, 'TEST_NAME'), (33, 42, 'BODY_PART')]}"
The patient was diagnosed with Iron-Deficiency Anemia last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
The Protein C and Protein S Tests revealed a Trichomoniasis in the liver.,"{'entities': [(45, 59, 'DIAGNOSIS'), (4, 33, 'TEST_NAME'), (67, 72, 'BODY_PART')]}"
The patient was diagnosed with Renal Laceration last year.,"{'entities': [(31, 47, 'DIAGNOSIS')]}"
Prescribe 45 L every 25 hours of NightTime Sleep Aid for pain relief.,"{'entities': [(33, 52, 'MEDICATION'), (10, 29, 'DOSAGE')]}"
The Lactate Test shows normal left leg function.,"{'entities': [(4, 16, 'TEST_NAME'), (30, 38, 'BODY_PART')]}"
The patient was diagnosed with Leg Contusion last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
Prescribe 5 mg of Guaiatussin for pain relief.,"{'entities': [(18, 29, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
She mentioned an allergy to glipizide.,"{'entities': [(28, 37, 'MEDICATION')]}"
Patient presents with Actinic Keratosis.,"{'entities': [(22, 39, 'SYMPTOM')]}"
Patient presents with Aspect of “Snowstorm”.,"{'entities': [(22, 43, 'SYMPTOM')]}"
The Carbon Dioxide (CO2) in Blood shows normal right lung function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 57, 'BODY_PART')]}"
Patient presents with Patient Request (Augmentation Rhinoplasty).,"{'entities': [(22, 64, 'SYMPTOM')]}"
She mentioned an allergy to Qvar.,"{'entities': [(28, 32, 'MEDICATION')]}"
She mentioned an allergy to dextroamphetamine-Amphetamine.,"{'entities': [(28, 57, 'MEDICATION')]}"
The Barium Swallow shows normal right temple function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 44, 'BODY_PART')]}"
He has been prescribed naltrexone 175 g.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
The Fall Risk Assessment shows normal left heel function.,"{'entities': [(4, 24, 'TEST_NAME'), (38, 47, 'BODY_PART')]}"
PTEN Genetic Test measurements indicate Thoracic Stab Wound.,"{'entities': [(40, 59, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Panic Disorder Test measurements indicate COVID-19.,"{'entities': [(42, 50, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
The patient was diagnosed with Pilonidal Cyst last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
The Celiac Disease Screening revealed a Tetanus in the right shoulder.,"{'entities': [(40, 47, 'DIAGNOSIS'), (4, 28, 'TEST_NAME'), (55, 69, 'BODY_PART')]}"
The Prostate-Specific Antigen (PSA) Test revealed a Struck By Lightning in the left shin.,"{'entities': [(52, 71, 'DIAGNOSIS'), (4, 40, 'TEST_NAME'), (79, 88, 'BODY_PART')]}"
The patient was diagnosed with Preeclampsia last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
He has been prescribed Yuvafem 980 mg.,"{'entities': [(23, 30, 'MEDICATION'), (31, 37, 'DOSAGE')]}"
Patient presents with Neuromyelitis Discovered.,"{'entities': [(22, 46, 'SYMPTOM')]}"
Prescribe 905 L every 36 hours of pepcid for pain relief.,"{'entities': [(34, 40, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
Prescribe 315 g of levofloxacin for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Mental Health Screening revealed a Vesicovaginal Fistula in the right calf.,"{'entities': [(39, 60, 'DIAGNOSIS'), (4, 27, 'TEST_NAME'), (68, 78, 'BODY_PART')]}"
Patient presents with Brain Arteries Blocked.,"{'entities': [(22, 44, 'SYMPTOM')]}"
CA-125 Blood Test (Ovarian Cancer) measurements indicate Precancerous Cervix.,"{'entities': [(57, 76, 'DIAGNOSIS'), (0, 34, 'TEST_NAME')]}"
He has been prescribed Dilaudid 905 L every 36 hours.,"{'entities': [(23, 31, 'MEDICATION'), (32, 52, 'DOSAGE')]}"
Prescribe 225 L of sodium chloride decyl glucoside for pain relief.,"{'entities': [(19, 50, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
He has been prescribed levothyroxine 940 L every 22 hours.,"{'entities': [(23, 36, 'MEDICATION'), (37, 57, 'DOSAGE')]}"
Electrolyte Panel measurements indicate Acute Myeloid Leukaemia.,"{'entities': [(40, 63, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Prescribe 125 mL every 41 hours of omeprazole for pain relief.,"{'entities': [(35, 45, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
Examine the Abdominal Pain in the patient's left chest.,"{'entities': [(12, 26, 'SYMPTOM'), (44, 54, 'BODY_PART')]}"
She mentioned an allergy to mirtazapine.,"{'entities': [(28, 39, 'MEDICATION')]}"
Patient presents with Blunt Pulmonary Contusion.,"{'entities': [(22, 47, 'SYMPTOM')]}"
Insulin in Blood measurements indicate Open Fracture of Humerus.,"{'entities': [(39, 63, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
The Blood Smear shows normal right palm function.,"{'entities': [(4, 15, 'TEST_NAME'), (29, 39, 'BODY_PART')]}"
Prescribe 800 L every 34 hours of potassium chloride for pain relief.,"{'entities': [(34, 52, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
She mentioned an allergy to linezolid.,"{'entities': [(28, 37, 'MEDICATION')]}"
Patient presents with CD5 Antigen Bright Expression.,"{'entities': [(22, 51, 'SYMPTOM')]}"
Prescribe 60 g every 38 hours of Inderal for pain relief.,"{'entities': [(33, 40, 'MEDICATION'), (10, 29, 'DOSAGE')]}"
The patient was diagnosed with Pregnancy Vaginosis last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
The patient was diagnosed with Pertussis last year.,"{'entities': [(31, 40, 'DIAGNOSIS')]}"
Prescribe 830 L of Suprax for pain relief.,"{'entities': [(19, 25, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
She mentioned an allergy to losartan.,"{'entities': [(28, 36, 'MEDICATION')]}"
Prescribe 275 mg every 11 hours of tolterodine for pain relief.,"{'entities': [(35, 46, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Cerebrospinal Fluid (CSF) Analysis shows normal right lung function.,"{'entities': [(4, 38, 'TEST_NAME'), (52, 62, 'BODY_PART')]}"
Prescribe 885 L of carvedilol for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The PCR Tests shows normal right jaw function.,"{'entities': [(4, 13, 'TEST_NAME'), (27, 36, 'BODY_PART')]}"
She mentioned an allergy to amiodarone.,"{'entities': [(28, 38, 'MEDICATION')]}"
The CA-125 Blood Test (Ovarian Cancer) revealed a Submucous Fibroma in the left shoulder.,"{'entities': [(50, 67, 'DIAGNOSIS'), (4, 38, 'TEST_NAME'), (75, 88, 'BODY_PART')]}"
Examine the Blunt Pancreas Laceration in the patient's left forearm.,"{'entities': [(12, 37, 'SYMPTOM'), (55, 67, 'BODY_PART')]}"
The Salicylates Level revealed a Baby Blues in the right neck.,"{'entities': [(33, 43, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (51, 61, 'BODY_PART')]}"
He has been prescribed pradaxa 485 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Prescribe 345 L of indomethacin for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with Lung Adenocarcinoma (Stage E) Detected.,"{'entities': [(22, 60, 'SYMPTOM')]}"
The patient was diagnosed with Gastritis last year.,"{'entities': [(31, 40, 'DIAGNOSIS')]}"
The patient was diagnosed with Postpartum Endometritis last year.,"{'entities': [(31, 54, 'DIAGNOSIS')]}"
The patient was diagnosed with West Nile Fever last year.,"{'entities': [(31, 46, 'DIAGNOSIS')]}"
She mentioned an allergy to naproxen.,"{'entities': [(28, 36, 'MEDICATION')]}"
The patient was diagnosed with Basal Cell Carcinoma (Stage 4) last year.,"{'entities': [(31, 61, 'DIAGNOSIS')]}"
The patient was diagnosed with ACL Injury last year.,"{'entities': [(31, 41, 'DIAGNOSIS')]}"
Examine the Plasmodium Detected in the patient's right shin.,"{'entities': [(12, 31, 'SYMPTOM'), (49, 59, 'BODY_PART')]}"
The Prolactin Levels shows normal right finger function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 46, 'BODY_PART')]}"
Examine the EBV Detected in the patient's left nipple.,"{'entities': [(12, 24, 'SYMPTOM'), (42, 53, 'BODY_PART')]}"
Prescribe 325 mL of selenium sulfide for pain relief.,"{'entities': [(20, 36, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Patient presents with Large Primary Tumour Detected.,"{'entities': [(22, 51, 'SYMPTOM')]}"
Prescribe 620 L of losartan for pain relief.,"{'entities': [(19, 27, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
She mentioned an allergy to nortriptyline.,"{'entities': [(28, 41, 'MEDICATION')]}"
She mentioned an allergy to Virtussin.,"{'entities': [(28, 37, 'MEDICATION')]}"
The Neurological Exam revealed a Gynecologic Hemorrhage in the left hand.,"{'entities': [(33, 55, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (63, 72, 'BODY_PART')]}"
Prescribe 460 L of simvastatin for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
He has been prescribed tramadol 210 mL.,"{'entities': [(23, 31, 'MEDICATION'), (32, 38, 'DOSAGE')]}"
Ceruloplasmin Test measurements indicate Nasal Polyp.,"{'entities': [(41, 52, 'DIAGNOSIS'), (0, 18, 'TEST_NAME')]}"
